device_record_id,device_id,customer_id,device_type,os_family,device_trust_status,first_seen_timestamp,last_seen_timestamp,device_fingerprint_token
DEVR00000066,DEV00000066,CUS0013090,MOBILE,LINUX,TRUSTED,2026-01-05 10:25:13,2026-01-22 09:58:45,TOK-D-0000000066
DEVR00000096,DEV00000096,CUS0007859,MOBILE,ANDROID,OBSERVED,2024-11-18 03:59:23,2025-05-08 13:15:15,TOK-D-0000000096
DEVR00000101,DEV00000101,CUS0007748,MOBILE,EMBEDDED,TRUSTED,2024-07-01 08:49:24,2024-07-29 20:39:29,TOK-D-0000000101
DEVR00000112,DEV00000112,CUS0003025,TABLET,EMBEDDED,TRUSTED,2025-02-21 04:27:04,2025-04-28 23:42:29,TOK-D-0000000112
DEVR00000161,DEV00000161,CUS0015870,MOBILE,EMBEDDED,TRUSTED,2026-06-03 01:43:00,2026-06-30 23:59:59,TOK-D-0000000161
DEVR00000163,DEV00000163,CUS0015491,DESKTOP,EMBEDDED,TRUSTED,2026-01-03 01:18:11,2026-06-30 23:59:59,TOK-D-0000000163
DEVR00000217,DEV00000217,CUS0015714,DESKTOP,ANDROID,TRUSTED,2024-02-29 23:21:18,2024-07-02 04:29:41,TOK-D-0000000217
DEVR00000241,DEV00000241,CUS0013945,MOBILE,EMBEDDED,OBSERVED,2025-10-08 02:52:05,2026-02-24 13:59:27,TOK-D-0000000241
DEVR00000310,DEV00000310,CUS0014776,MOBILE,EMBEDDED,TRUSTED,2025-11-19 01:12:57,2026-06-30 23:59:59,TOK-D-0000000310
DEVR00000333,DEV00000333,CUS0016291,MOBILE,ANDROID,OBSERVED,2024-02-10 00:34:55,2024-09-05 14:52:19,TOK-D-0000000333
DEVR00000368,DEV00000368,CUS0000454,POS_TERMINAL,IOS,TRUSTED,2025-10-29 07:46:51,2025-11-27 17:36:38,TOK-D-0000000368
DEVR00000371,DEV00000371,CUS0000576,MOBILE,MACOS,TRUSTED,2025-12-03 12:09:28,2026-06-30 23:59:59,TOK-D-0000000371
DEVR00000390,DEV00000390,CUS0002552,MOBILE,IOS,TRUSTED,2025-03-19 02:15:39,2025-04-28 08:01:52,TOK-D-0000000390
DEVR00000420,DEV00000420,CUS0013831,POS_TERMINAL,MACOS,TRUSTED,2025-10-10 13:26:26,2026-06-30 23:59:59,TOK-D-0000000420
DEVR00000444,DEV00000444,CUS0001289,MOBILE,ANDROID,TRUSTED,2026-06-13 10:51:08,2026-06-30 23:59:59,TOK-D-0000000444
DEVR00000447,DEV00000447,CUS0000110,DESKTOP,EMBEDDED,TRUSTED,2026-01-28 03:18:33,2026-03-10 09:33:27,TOK-D-0000000447
DEVR00000470,DEV00000470,CUS0009893,MOBILE,EMBEDDED,OBSERVED,2024-07-28 17:41:18,2024-12-18 16:16:54,TOK-D-0000000470
DEVR00000491,DEV00000491,CUS0004452,MOBILE,LINUX,UNTRUSTED,2026-05-20 19:33:45,2026-06-30 23:59:59,TOK-D-0000000491
DEVR00000498,DEV00000498,CUS0015518,MOBILE,IOS,OBSERVED,2025-08-05 22:35:44,2025-08-20 12:40:12,TOK-D-0000000498
DEVR00000553,DEV00000553,CUS0014576,TABLET,IOS,TRUSTED,2025-02-04 19:44:25,2025-05-12 03:28:59,TOK-D-0000000553
DEVR00000581,DEV00000581,CUS0007936,POS_TERMINAL,IOS,TRUSTED,2025-04-16 05:49:09,2025-12-08 01:52:48,TOK-D-0000000581
DEVR00000626,DEV00000626,CUS0004596,MOBILE,MACOS,TRUSTED,2025-01-26 02:04:15,2025-11-10 02:44:51,TOK-D-0000000626
DEVR00000784,DEV00000784,CUS0005308,DESKTOP,MACOS,OBSERVED,2025-09-23 18:16:24,2026-06-06 10:04:46,TOK-D-0000000784
DEVR00000832,DEV00000832,CUS0005590,MOBILE,WINDOWS,TRUSTED,2025-05-21 03:36:56,2025-06-11 01:18:18,TOK-D-0000000832
DEVR00000860,DEV00000860,CUS0005460,MOBILE,EMBEDDED,TRUSTED,2024-05-15 11:24:34,2024-11-30 06:54:06,TOK-D-0000000860
DEVR00000911,DEV00000911,CUS0001481,TABLET,WINDOWS,OBSERVED,2025-09-23 20:56:11,2026-01-05 03:24:50,TOK-D-0000000911
DEVR00000952,DEV00000952,CUS0016822,DESKTOP,LINUX,TRUSTED,2024-08-19 05:49:08,2025-01-23 15:05:13,TOK-D-0000000952
DEVR00000976,DEV00000976,CUS0012198,POS_TERMINAL,WINDOWS,TRUSTED,2025-10-26 01:18:25,2026-01-04 11:34:17,TOK-D-0000000976
DEVR00000978,DEV00000978,CUS0009228,MOBILE,IOS,TRUSTED,2025-11-30 09:36:11,2026-06-30 23:59:59,TOK-D-0000000978
DEVR00000989,DEV00000989,CUS0007140,MOBILE,ANDROID,UNTRUSTED,2024-07-21 09:10:10,2024-11-06 19:56:37,TOK-D-0000000989
DEVR00001067,DEV00001067,CUS0009733,MOBILE,EMBEDDED,TRUSTED,2025-04-30 03:25:49,2025-08-15 17:26:59,TOK-D-0000001067
DEVR00001068,DEV00001068,CUS0009192,MOBILE,EMBEDDED,TRUSTED,2024-12-14 07:49:09,2025-05-21 03:18:33,TOK-D-0000001068
DEVR00001136,DEV00001136,CUS0004951,MOBILE,WINDOWS,TRUSTED,2024-03-20 11:02:38,2024-07-28 18:12:47,TOK-D-0000001136
DEVR00001149,DEV00001149,CUS0010933,MOBILE,EMBEDDED,TRUSTED,2025-10-08 17:37:39,2026-03-16 03:01:04,TOK-D-0000001149
